Modality,Task,Accuracy,Precision,Recall,F1-Score,ROC-AUC
MRI,Binary,0.997737556561086,0.9975124378109452,0.9979338842975207,0.997717920519612,1.0
MRI,Multiclass,0.9751131221719457,0.9792368125701459,0.9718580940491052,0.9754902612109316,0.9985529857159071
CT,Binary,0.9696969696969697,0.969804318488529,0.9697338830584707,0.9696964017991004,0.9957646176911544
CT,Multiclass,0.9372294372294372,0.7726505959540529,0.7432411314267854,0.7559116538761632,0.9711333090957796
PET,Binary,1.0,1.0,1.0,1.0,1.0
PET,Multiclass,1.0,1.0,1.0,1.0,1.0
